,site_no,Mean Flow,Coeff Var,TQmean,R-B Index
site_no,3335000.0,894.4527545909849,159.64537377007917,,
Discharge,3335000.0,894.4527545909849,159.64537377007917,0.25375626043405675,1.016270569184355
site_no,3331500.0,956.8866666666667,86.08331958698842,,
Discharge,3331500.0,956.8866666666667,86.08331958698842,0.37,0.6068900531585071
