	site_no	Mean Flow	Coeff Var	TQmean	R-B Index
1	3335000.0	1047.1740300502245	76.20020390994307	0.3412931582229413	0.21404750846147302
2	3335000.0	1159.9320792944538	73.33016056466445	0.34214047354203087	0.21923361620400478
3	3335000.0	1421.0316791847845	65.27646693268345	0.36342540111908866	0.21256725512289062
4	3335000.0	1373.443417700764	65.09248027312753	0.3580085051211304	0.2108762137521549
5	3335000.0	1133.0150567214448	64.70959050854931	0.367395092327557	0.20619492576687184
6	3335000.0	1073.3426541924887	75.58185133038775	0.32945397222663636	0.2809309973200546
7	3335000.0	654.5133737427107	65.9974554814119	0.3348030260895944	0.23701233200913013
8	3335000.0	324.7122700980888	68.56705097172073	0.2981250337074865	0.23354122496118637
9	3335000.0	352.5050439728005	52.110438138577535	0.32318254409661534	0.17482223302597014
10	3335000.0	364.34825748095534	45.25830001944273	0.3513920307075201	0.14551060970622645
11	3335000.0	651.638208574342	64.55439516324469	0.32840734413899036	0.19054542496357846
12	3335000.0	921.4596580628306	67.32468786890367	0.35085425725553643	0.19451060568941678
1	3331500.0	1119.2385579221018	37.39366493701569	0.3859223421646946	0.08294698910841973
2	3331500.0	1250.8628309232483	42.76874443381137	0.40011997457492454	0.0911682865108725
3	3331500.0	1587.590088494792	32.71311792643604	0.4288692486601273	0.07428386827142697
4	3331500.0	1555.417347482653	33.29774354506633	0.4451924360400445	0.07493792275514022
5	3331500.0	1218.1229146442172	35.66069490880655	0.4046288089459669	0.0797522470309653
6	3331500.0	1087.905415991313	31.83972798613849	0.4403533688225012	0.08277737667338318
7	3331500.0	674.4696021800316	36.39720474346318	0.40984356355546575	0.08665404129624141
8	3331500.0	469.9385185391176	30.66819786332454	0.40759026864866693	0.0707598789334982
9	3331500.0	406.93206939588964	25.91208524030399	0.3791705863658033	0.06330938573614286
10	3331500.0	490.63492225789594	24.775429074980078	0.4157844574780059	0.05494338746307953
11	3331500.0	692.9891591649451	29.823452422995416	0.4002332353408549	0.07098553295078561
12	3331500.0	934.8164512421209	31.50376376862225	0.3966410784710284	0.0726644850472067
